Year,Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %
2014,107,Beijing Love Story,"$65,842,375","$428,318",0.7%,"$65,414,057",99.3%
2014,108,The House That Never Dies,"$65,220,000",-,-,"$65,220,000",100%
2014,109,The Pirates,"$64,858,224","$415,775",0.6%,"$64,442,449",99.4%
2014,110,God's Not Dead,"$64,667,874","$60,755,732",94%,"$3,912,142",6%
2014,111,The Pirate Fairy,"$63,998,725",-,-,"$63,998,725",100%
2014,112,The Inbetweeners 2,"$63,852,235",-,-,"$63,852,235",100%
2014,113,Begin Again,"$63,464,861","$16,170,632",25.5%,"$47,294,229",74.5%
2014,114,The White Haired Witch of Lunar Kingdom,"$62,515,046",-,-,"$62,515,046",100%
2014,115,The Walk,"$61,181,942","$10,137,502",16.6%,"$51,044,440",83.4%
2014,116,Miss Granny,"$58,940,254",-,-,"$58,940,254",100%
2014,117,A Walk Among the Tombstones,"$58,834,384","$26,307,600",44.7%,"$32,526,784",55.3%
2014,118,Dolphin Tale 2,"$57,824,533","$42,024,533",72.7%,"$15,800,000",27.3%
2014,119,St. Vincent,"$55,072,469","$44,137,712",80.1%,"$10,699,522",19.4%
2014,120,No Good Deed,"$54,323,210","$52,543,632",96.7%,"$1,779,578",3.3%
2014,121,Wild,"$53,674,039","$37,880,356",70.6%,"$14,621,185",27.2%
2014,122,Overheard 3,"$53,493,428",-,-,"$53,493,428",100%
2014,123,Supercondriaque,"$53,425,036",-,-,"$53,425,036",100%
2014,124,3 Days to Kill,"$53,260,230","$30,697,999",57.6%,"$22,562,231",42.4%
2014,125,Rurouni Kenshin Part II: Kyoto Inferno,"$52,791,881",-,-,"$52,696,176",99.8%
2014,126,Magic in the Moonlight,"$51,029,361","$10,539,326",20.7%,"$40,490,035",79.3%
2014,127,About Last Night,"$50,445,860","$48,637,684",96.4%,"$1,808,176",3.6%
2014,128,Dearest 2014 Re-release,"$50,000,583",-,-,"$50,000,583",100%
2014,129,Chef,"$49,011,514","$31,424,003",64.1%,"$17,004,045",34.7%
2014,130,Whiplash,"$48,983,855","$13,092,000",26.7%,"$35,890,041",73.3%
2014,131,Boyhood,"$48,137,666","$25,352,281",52.7%,"$22,785,385",47.3%
2014,132,Coming Home,"$47,595,177","$377,607",0.8%,"$47,210,377",99.2%
2014,133,Beauty and the Beast,"$47,430,624",-,-,"$47,430,624",100%
2014,134,Nightcrawler,"$47,425,835","$32,381,217",68.3%,"$15,044,618",31.7%
2014,135,Earth to Echo,"$46,340,781","$38,934,842",84%,"$6,746,220",14.6%
2014,136,That Awkward Moment,"$45,640,143","$26,068,955",57.1%,"$19,571,188",42.9%
2014,137,Love on the Cloud,"$45,386,560","$271,734",0.6%,"$45,114,826",99.4%
2014,138,Oculus,"$44,446,287","$27,695,246",62.3%,"$16,751,041",37.7%
2014,139,The Great Hypnotist,"$44,077,818",-,-,"$44,077,818",100%
2014,140,Kick,"$43,996,483","$2,472,695",5.6%,"$41,523,788",94.4%
2014,141,Thermae Romae II,"$43,115,621",-,-,"$42,473,163",98.5%
2014,142,Asterix and Obelix: Mansion of the Gods,"$42,830,578",-,-,"$42,830,578",100%
2014,143,"As Above, So Below","$42,337,303","$21,321,100",50.4%,"$20,577,309",48.6%
2014,144,Bang Bang,"$42,128,489","$2,546,172",6%,"$39,499,809",93.8%
2014,145,Rurouni Kenshin: The Legend Ends,"$42,120,289",-,-,"$41,900,000",99.5%
2014,146,Detective Conan: The Sniper from Another Dimension,"$42,028,116",-,-,"$42,028,116",100%
2014,147,This Is Where I Leave You,"$41,296,320","$34,296,320",83%,"$7,000,000",17%
2014,148,Million Dollar Arm,"$40,761,168","$36,457,627",89.4%,"$2,025,828",5%
2014,149,Winter's Tale,"$40,557,355","$12,600,231",31.1%,"$18,200,000",44.9%
2014,150,Boonie Bears: To the Rescue,"$40,163,675",-,-,"$40,163,675",100%
